market,date_started,week_end_date,price_per_quintal,year,month
Partaval APMC,2025-11-01,2025-11-08,1902.13,2025,11
Payagpur APMC,2025-11-01,2025-11-08,2100.0,2025,11
Pilibhit APMC,2025-11-01,2025-11-08,1967.5,2025,11
Pratapgarh APMC,2025-11-01,2025-11-08,2022.17,2025,11
Pukharayan APMC,2025-11-01,2025-11-08,1766.63,2025,11
Puranpur APMC,2025-11-01,2025-11-08,1949.37,2025,11
Purwa APMC,2025-11-01,2025-11-08,,2025,11
Puwaha APMC,2025-11-01,2025-11-08,1887.13,2025,11
Raibareilly APMC,2025-11-01,2025-11-08,1891.94,2025,11
Rampur APMC,2025-11-01,2025-11-08,1849.55,2025,11
Rampurmaniharan APMC,2025-11-01,2025-11-08,2400.0,2025,11
Rasda APMC,2025-11-01,2025-11-08,1965.0,2025,11
Robertsganj APMC,2025-11-01,2025-11-08,2047.2,2025,11
Rudauli APMC,2025-11-01,2025-11-08,2105.64,2025,11
Rura APMC,2025-11-01,2025-11-08,,2025,11
Safdarganj APMC,2025-11-01,2025-11-08,2059.52,2025,11
Saharanpur APMC,2025-11-01,2025-11-08,2037.92,2025,11
Sahiyapur APMC,2025-11-01,2025-11-08,1650.0,2025,11
Salon APMC,2025-11-01,2025-11-08,1911.92,2025,11
Sambhal APMC,2025-11-01,2025-11-08,2250.0,2025,11
Samsabad APMC,2025-11-01,2025-11-08,1530.86,2025,11
Sandi APMC,2025-11-01,2025-11-08,2054.9,2025,11
Sandila APMC,2025-11-01,2025-11-08,2041.08,2025,11
Sardhana APMC,2025-11-01,2025-11-08,,2025,11
Sehjanwa APMC,2025-11-01,2025-11-08,1325.0,2025,11
Shadabad APMC,2025-11-01,2025-11-08,1966.67,2025,11
Shahabad(New Mandi) APMC,2025-11-01,2025-11-08,2056.96,2025,11
Shahaswan APMC,2025-11-01,2025-11-08,2528.57,2025,11
Shahganj APMC,2025-11-01,2025-11-08,1830.0,2025,11
Shahjahanpur APMC,2025-11-01,2025-11-08,1950.0,2025,11
Shahpur APMC,2025-11-01,2025-11-08,1270.0,2025,11
Shamli APMC,2025-11-01,2025-11-08,2078.42,2025,11
Shikohabad APMC,2025-11-01,2025-11-08,,2025,11
Sikanderabad APMC,2025-11-01,2025-11-08,,2025,11
Sikarpur APMC,2025-11-01,2025-11-08,1513.64,2025,11
Sirsa APMC,2025-11-01,2025-11-08,2285.19,2025,11
Sirsaganj APMC,2025-11-01,2025-11-08,1171.43,2025,11
Sitapur APMC,2025-11-01,2025-11-08,2026.84,2025,11
Siyana APMC,2025-11-01,2025-11-08,1548.63,2025,11
Sultanpur APMC,2025-11-01,2025-11-08,1956.52,2025,11
Tamkuhi road APMC,2025-11-01,2025-11-08,1496.05,2025,11
Thanabhavan APMC,2025-11-01,2025-11-08,2525.0,2025,11
Tikonia APMC,2025-11-01,2025-11-08,,2025,11
Tilhar APMC,2025-11-01,2025-11-08,1875.28,2025,11
Tulsipur APMC,2025-11-01,2025-11-08,1812.52,2025,11
Tundla APMC,2025-11-01,2025-11-08,1856.67,2025,11
Ujhani APMC,2025-11-01,2025-11-08,1899.52,2025,11
Unnao APMC,2025-11-01,2025-11-08,1975.68,2025,11
Uttaripura APMC,2025-11-01,2025-11-08,1844.49,2025,11
Varanasi APMC,2025-11-01,2025-11-08,,2025,11
Varanasi(F&V) APMC,2025-11-01,2025-11-08,1974.22,2025,11
Varipaal APMC,2025-11-01,2025-11-08,2010.0,2025,11
Vishalpur APMC,2025-11-01,2025-11-08,1897.08,2025,11
Viswan APMC,2025-11-01,2025-11-08,2074.26,2025,11
Wazirganj APMC,2025-11-01,2025-11-08,1771.05,2025,11
Average,2025-11-01,2025-11-08,1926.0,2025,11
